1, 39037.53
2, 151118.11
3, 206380.79
4, 289245.23
5, 382014.15
6, 460259.04
7, 440547.16
8, 385595.93
9, 644582.23
10, 790587.93
11, 766965.06
12, 772691.14
13, 916279.63
14, 655224
15, 1037583.83
16, 1421443.23
17, 1354850
18, 1518371.31
19, 1438544.5
20, 1732861.28
21, 1628110.8
22, 1660954.67
23, 1342066.3
24, 1404741.55
25, 1132124.67
26, 1814289.55
27, 1747816.07
28, 1845878.09
29, 1391663.67
30, 1440032.55
31, 1865020.46
32, 1930618.06
33, 2131819.27
34, 1905747.44
35, 2530823.57
36, 2697983.31
37, 3355236.45
38, 3208555.35
39, 3962146.47
40, 2833003.67
41, 3092634.2
42, 3078713.46
43, 3201693.58
44, 3485156.08
45, 3159669.38
46, 3654981.08
47, 3542559.3
48, 3957460.31
49, 3972998.38
50, 3703975.5
51, 3638379.4
52, 3154636.5
53, 116093.5
54, 5012617.6
55, 4233991.83
56, 4224954.67
57, 124247.5
58, 2163594.67
59, 130353.5
60, 132396
61, 134432.5
62, 2574633
63, 2538805.8
64, 5052196.8
65, 2659780.2
66, 3959888.8
67, 4345394.83
68, 4672615.38
69, 6383406.81
70, 3304402.5
71, 3357971.25
72, 5730065.67
73, 4064463
74, 6614146.27
75, 4080513
76, 2893254.5
77, 174054.5
78, 176071
79, 5018589.4
80, 5755031.17
81, 2958721
82, 8493302
83, 5216502.2
84, 189193.25
85, 4416933.75
86, 2995855.67
87, 4404436.25
88, 5252564
89, 3072008.33
90, 6004253.83
91, 6024306.67
92, 4591837.25
93, 8955337.5
94, 4602443.5
95, 208277
96, 6576042
97, 6144192.86
98, 8428475.5
99, 5170139.2
100, 6520788.22
101, 7173583.23
102, 4345609.75
103, 222604.5
104, 8582381.55
105, 5862561.67
106, 5900077.5
107, 228607.5
108, 230608.5
109, 6458129.71
110, 4863104.75
111, 3108822.67
112, 4922848
113, 4918851
114, 5658376.57
115, 9919105.71
116, 4607287.89
117, 5226862.5
118, 7820765.38
119, 10440864.47
120, 8649320
121, 10810861.86
122, 10862164.5
125, 10906568.86
126, 11161001.25
127, 11681269
128, 11670808.67
132, 11625273
134, 11558977
135, 11349795.5
137, 11322279
139, 11405315.5
140, 11500246
142, 11315668.5
143, 11579062.44
144, 11941386.59
145, 12006428.33
146, 11974748.5
147, 14030838.33
148, 13669745
149, 13193427
150, 13654197.71
151, 13170476.9
152, 12279921.52
153, 12131756.5
154, 12194018.18
155, 12966637.67
156, 12208670
158, 14146281.5
159, 14301364.88
160, 14304947.38
161, 14196245
163, 14532054.33
164, 14622015
165, 14874709.5
166, 14880917
167, 15201355.25
168, 15348078.5
169, 15316291.15
170, 15265861.33
171, 15231437.67
172, 15311702
173, 15346532
174, 15292611.17
175, 15294948
176, 15094864.33
177, 15132446
178, 15216589.56
180, 15371276.88
183, 15733263.67
184, 15996805.47
185, 16090336.58
186, 16157233.76
187, 15998479
188, 16136947
189, 16298432.7
191, 16315528.5
192, 15549187.33
193, 15493089.5
194, 15463000.5
195, 15536163
